Rank,Days_on_Mars,SiO2,FeO,Al2O3,SO3,CaO,MgO,Na2O,TiO2,P2O5,K2O,Cl,Cr2O3,MnO
182,842,39.78,17.05,8.78,9.08,12.7,6.04,2.42,0.84,0.89,0.24,1.45,0.13,0.4
183,844,53.5,17.24,9.54,3.03,3.33,3.76,3.41,1.25,2.32,0.96,0.82,0.38,0.16
184,844,53.71,18.67,9.58,2.22,2.88,3,3.66,1.28,2.51,1.01,0.7,0.36,0.16
185,853,42.84,19.17,9.52,4.58,8.75,6.66,3.02,1.04,1.06,0.46,2.01,0.17,0.42
186,854,43.36,15.6,10.45,5.17,12.19,6.35,2.59,0.61,0.74,0.36,1.73,0.23,0.42
187,854,42.49,19.83,9.52,4.86,9.04,7.04,2.46,1.01,0.93,0.45,1.17,0.41,0.47
188,867,48.57,15.48,12.61,6.73,4.63,4.41,2.53,1.14,1.45,0.74,0.47,0.45,0.35
189,871,50.24,13.79,12.92,6.76,4.19,4.53,2.78,1.07,1.51,0.66,0.43,0.41,0.33
190,880,50.87,13.21,11.59,7.11,4.34,4.96,2.74,1.08,1.45,0.69,0.88,0.34,0.35
191,881,50.63,15.08,12.33,5.01,4.47,3.87,3.06,1.2,1.48,0.74,0.77,0.41,0.38
192,884,51.29,14.59,11.88,5.32,4.52,4.47,2.99,1.18,1.42,0.63,0.53,0.37,0.4
193,888,49.92,15.48,11.49,6.19,4.45,4.69,3,1.1,1.28,0.73,0.46,0.36,0.38
194,889,48.29,15.05,10.65,7.53,4.98,5.87,2.42,1.02,1.37,0.65,1.07,0.38,0.34
195,889,40.78,12.24,8.99,15.78,9.2,6.06,2.42,0.95,1.21,0.47,0.93,0.37,0.28
196,894,49.48,16.11,11.43,6.27,4.33,4.55,3.01,1.19,1.29,0.73,0.43,0.37,0.4
197,905,56.09,18.69,8.03,2.86,4.21,4.48,0.85,0.63,0.09,0.98,0.46,0.46,0.41
198,905,54.07,18.19,9.89,2.8,3.81,3.4,3.18,1.14,1.52,0.93,0.36,0.34,0.18
199,922,51.87,19.85,11.06,1.85,4.03,3.04,3.56,1.28,1.27,0.97,0.34,0.4,0.25
200,930,30.93,14.61,5.29,12.18,25.26,5.65,1.5,0.52,0.88,0.09,1.66,0.19,0.9
201,935,28.99,14.28,5.01,10.95,28.7,5.78,1.52,0.5,0.71,0.12,1.69,0.19,1.04
202,935,12.65,5.83,2.73,39.07,32.44,3.72,1.36,0.17,0.51,0.07,0.88,0.13,0.29
203,935,32.2,13.66,5.18,12.35,25.15,5.44,1.51,0.45,0.87,0.1,1.56,0.26,0.89
204,935,28.27,11.82,4.1,23.71,21.5,5.4,1.34,0.47,1.01,0.2,1.28,0.15,0.52
205,935,14.41,4.91,2.92,40.78,29.71,3.95,1.33,0.18,0.64,0.11,0.72,0.11,0.1
206,936,48.99,16.23,9.34,6.71,5.34,5.75,2.95,1.16,1.33,0.77,0.64,0.34,0.22
207,937,25.2,8.78,5.37,29.58,20.58,5.58,1.93,0.52,0.91,0.25,0.73,0.22,0.18
208,937,26.99,12.94,4.74,19.22,25.23,5.83,1.25,0.46,0.71,0.07,1.5,0.2,0.52
209,937,28.05,15.35,4.97,21.04,19.35,5.31,1.44,0.45,0.84,0.05,1.69,0.21,0.84
210,937,28.37,14.33,5,11.27,29.28,5.75,1.51,0.49,0.73,0.11,1.68,0.16,0.93
211,942,49.78,16.99,11.21,2.29,5.71,3.95,4.03,0.99,0.76,2.83,0.7,0.28,0.29
212,948,35.53,15.71,4.88,15.31,13.69,8.54,1.47,0.62,1.44,0.69,1.34,0.25,0.24
213,948,47.59,23.42,4.64,7.72,2.87,4.86,1.9,0.59,2.72,1.17,1.43,0.63,0.16
214,954,52.7,18.68,10.74,2.54,4.37,2.93,3.34,1.23,1.33,0.98,0.3,0.36,0.25
215,955,44.3,19.48,9.24,5.2,6.46,7.89,2.86,1.08,0.92,0.83,0.74,0.47,0.4
216,974,44.07,18.95,10.32,4.87,6.08,8.13,2.89,0.95,0.98,0.6,1.2,0.32,0.5
217,975,38.69,25.58,8.84,6.62,5.09,7.71,2.5,0.95,0.9,0.49,1.71,0.26,0.5
218,989,53.79,15.5,8.66,4.46,4.28,5.39,2.86,1.29,1.53,0.82,0.66,0.33,0.19
219,998,44.72,15.84,10.44,6.46,6.63,8.41,2.69,1.05,0.94,0.44,1.22,0.7,0.35
220,999,62.99,6.62,7.71,5.47,3.78,4.32,2.96,1.55,2.39,0.97,0.8,0.08,0.09
221,1028,53.26,10.85,6.7,10.53,5.36,6.21,2.39,1.09,1.11,0.5,1.11,0.5,0.11
222,1028,52.73,9.81,6.18,12.56,6.57,5.86,2.16,0.92,1.05,0.43,1,0.38,0.1
223,1028,53.13,10.71,6.53,11.05,5.55,6.16,2.34,1.09,1.19,0.5,1.03,0.46,0.12
224,1032,58.78,7.71,6.88,9.18,5.95,4.14,2.46,1.13,1.65,0.44,0.94,0.45,0.09
225,1041,72.56,2.68,5.01,6.62,2.71,3.26,2.12,1.48,1.41,1.3,0.58,0.03,0.04
226,1057,62.51,4.96,6.84,8.77,4.9,4.88,2.36,1.48,1.22,0.8,0.88,0.1,0.12
227,1057,68.09,4.4,6.09,7.21,3.87,3.45,2.15,1.51,1.32,0.82,0.71,0.1,0.08
228,1059,71.47,3.77,5.36,7.68,4.81,0.46,1.97,1.7,1.37,0.8,0.29,0.06,0.07
229,1061,55.4,7,7.97,8.75,5.65,7.38,2.67,1.44,1.17,0.81,1.2,0.14,0.16
230,1064,72.5,4.42,4.75,7.55,2.42,1.93,1.87,1.65,1.29,1,0.34,0.05,0.06
231,1065,74.43,4.94,5.45,4.85,2.99,0.72,2.01,1.66,1.29,0.99,0.28,0.08,0.08
232,1082,45.65,18.47,10.44,2.62,7.08,7.8,3.43,0.85,0.78,1.36,0.52,0.5,0.41
233,1089,68.07,9.87,6.06,4.6,3.35,1.53,2.1,1.43,1.17,0.86,0.35,0.2,0.17
234,1091,61.04,8.6,6.07,6.51,3.74,4.47,2.57,1.29,2.51,0.55,2.01,0.23,0.09
235,1092,73.65,5.49,5.66,4.8,3.05,0.82,2.08,1.57,1.25,0.96,0.29,0.1,0.09
236,1092,43.87,18.82,9.31,5.63,6.49,8.84,2.63,0.94,0.95,0.45,1.08,0.47,0.42
237,1092,62.07,5.65,4.11,11.04,5.23,4.17,2.2,1.48,2.28,0.42,0.98,0.1,0.04
238,1097,43.39,17.83,11.32,5.66,5.98,8.17,2.78,0.96,0.88,0.48,1.56,0.48,0.35
239,1102,43.57,19.87,8.86,5.08,5.86,8.42,3.25,0.89,0.74,0.93,1.52,0.39,0.53
240,1105,47.14,18.51,8.93,5.99,5.65,6.38,2.6,1.06,1.21,0.79,0.68,0.32,0.41
